id,AlisaGY,province,city,suburb,name,address,phone(可不填）
,AlisaGY,陕西省,西安市,灞桥区,兵器工业五二一医院,田洪正街303号,029-83608315 
,AlisaGY,陕西省,西安市,灞桥区,西安医学院第二附属医院,西安市灞桥区东郊纺织城纺东街167号,029-83553606
,咔嘻,陕西省,西安市,灞桥区,唐都医院,新寺路1号,029-84777777
,AlisaGY,陕西省,西安市,碑林区,西安市第九医院,西安市碑林区南二环路东段151号,029-82322257,029-82322548
,AlisaGY,陕西省,西安市,碑林区,陕西省友谊医院,陕西省西安市友谊西路277号,029-85360950
,AlisaGY,陕西省,西安市,碑林区,通用环球中铁西安医院,西安市碑林区南二环东段319号,029-87865777
,咔嘻,陕西省,西安市,碑林区,陕西省人民医院,西安市友谊西路256号,029-85251331
,AlisaGY,陕西省,西安市,高陵区,高陵区医院,西安市高陵区鹿苑大道与上林二路十字东北角,029-86912158
,AlisaGY,陕西省,西安市,鄠邑区,鄠邑区人民医院,西安市鄠邑区渼陂西路5号,
,AlisaGY,陕西省,西安市,蓝田县,蓝田县人民医院,西安市蓝田县滋水路,
,AlisaGY,陕西省,西安市,蓝田县,陕西航天医院,蓝田县大寨乡,029-83601065
,AlisaGY,陕西省,西安市,莲湖区,西安大兴医院,西安市莲湖区劳动北路353号,029-86311275
,咔嘻,陕西省,西安市,莲湖区,西安医学院第一附属医院,西安市莲湖区沣镐西路48号,029-84277356
,咔嘻,陕西省,西安市,莲湖区,西电集团医院,西安市丰登路97号,
,咔嘻,陕西省,西安市,莲湖区,西安市儿童医院,西安市西举院巷69号,029-87311818
,咔嘻,陕西省,西安市,莲湖区,西安市第五医院,外西关正街112号,
,AlisaGY,陕西省,西安市,临潼区,临潼区人民医院,西安市临潼区西关正街2号,029-83812134?
,AlisaGY,陕西省,西安市,秦渡镇,西安医专附属医院,秦渡镇17号(西安医学高等专科学校旁)西安医专附属医院附近,
,咔嘻,陕西省,西安市,未央区,西安市第三医院,西安市未央区渭滨路-凤城三路,
,咔嘻,陕西省,西安市,未央区,西安市中医医院,西安市凤城八路69号,
,咔嘻,陕西省,西安市,未央区,长安医院,西安市经济技术开发区文景路17号,
,AlisaGY,陕西省,西安市,新城区,西安市中心医院,西安市新城区西五路161号,
,咔嘻,陕西省,西安市,新城区,西安交通大学第二附属医院,西安市市区内西五路157号,
,咔嘻,陕西省,西安市,新城区,陕西省第二人民医院,西安市新城区尚勤路3号,029-87421012
,咔嘻,陕西省,西安市,新城区,陕西省第四人民医院,?西安市新城区咸宁东路512号,029-82626314
,咔嘻,陕西省,西安市,新城区,西京医院,新城区长乐西路127号,
,AlisaGY,陕西省,西安市,阎良区,阎良区人民医院,西安市阎良区胜利路康复街9号,029-86202386
,AlisaGY,陕西省,西安市,雁塔区,陕西省传染病院（西安市第八医院）,陕西省西安市雁塔区丈八东路,029-85262171
,AlisaGY,陕西省,西安市,雁塔区,西安高新医院,西安市雁塔区团结南路16号,029-88330120
,咔嘻,陕西省,西安市,雁塔区,西安交通大学第一附属医院,西安市雁塔西路277号,
,咔嘻,陕西省,西安市,雁塔区,西安市第八医院,西安市丈八东路2号,
,咔嘻,陕西省,西安市,长安区,陕西省结核病防治院,长安区太乙宫镇上湾村甲字1号,
,咔嘻,陕西省,西安市,长安区,西安市胸科医院,陕西省西安市长安区航天大道,029-62500316
,咔嘻,陕西省,西安市,长安区,西安国际医学中心医院,西太一级公路东50米,
,AlisaGY,陕西省,西安市,周至县,周至县人民医院,陕西省西安市周至县二曲镇老城东街9号,029-87111917
,咔嘻,陕西省,铜川市,王益区,铜川市人民医院（北院）,?铜川市王益区健康路12号,(0919)2158913
,咔嘻,陕西省,铜川市,王益区,铜川矿务局中心医院（北院）,铜川市王益区川口路15号,(0919)2169384
,AlisaGY,陕西省,铜川市,耀州区,耀州区人民医院,铜川市耀州区华原路中段北侧,0919-6281030
,咔嘻,陕西省,铜川市,耀州区,铜川市人民医院（南院）,铜川市耀州区鸿基东路东50米,
,咔嘻,陕西省,铜川市,耀州区,铜川市中医医院（南院）, 陕西省铜川市耀州区长虹北路25号,
,AlisaGY,陕西省,铜川市,宜君县,宜君县人民医院,铜川市宜君县城关街道宜阳中街,0919-5281122,0919-5285364
,AlisaGY,陕西省,宝鸡市,滨河新区,眉县人民医院,宝鸡市眉县守善镇眉坞大道东段(逸城乐园对面),
,AlisaGY,陕西省,宝鸡市,陈仓区,宝鸡市陈仓医院,宝鸡市陈仓区西大街330号,0917-8906008
,AlisaGY,陕西省,宝鸡市,凤翔县,凤翔县医院,宝鸡市凤翔县城秦凤路22号,0917-7212734
,AlisaGY,陕西省,宝鸡市,扶风县,扶风县人民医院,宝鸡市扶风县县城新区西大街,0917-5211512,0917-5211990
,AlisaGY,陕西省,宝鸡市,金台区,宝鸡市金台医院,宝鸡市金台区人民路5号,0917-3513497
,咔嘻,陕西省,宝鸡市,金台区,宝鸡市中医医院,宝鸡市金台区宝福路43号,(0917)3662894
,AlisaGY,陕西省,宝鸡市,麟游县,麟游县医院,宝鸡市麟游县官坪新区永安路,0917-7960420
,AlisaGY,陕西省,宝鸡市,陇县,陇县人民医院,宝鸡市陇县城关镇北关路24号,0917-4604695
,AlisaGY,陕西省,宝鸡市,岐山县,岐山县医院,宝鸡市岐山县凤鸣镇东关街19号,0917-8212484
,AlisaGY,陕西省,宝鸡市,千阳县,千阳县人民医院,宝鸡市千阳县城关镇南关路12号,0917-4241844
,AlisaGY,陕西省,宝鸡市,市凤县,凤县医院,宝鸡市凤县双石铺镇凤中路18号,0917-4762325,0917-4806338,0917-4806309
,AlisaGY,陕西省,宝鸡市,太白县,太白县医院,宝鸡市太白县北大街汉源路63号,0917-4951195,0917-8651009
,AlisaGY,陕西省,宝鸡市,渭滨区,高新人民医院,宝鸡市渭滨区高新四路19号,0917-3120120,0917-3532580
,咔嘻,陕西省,宝鸡市,渭滨区,宝鸡市人民医院,陕西省宝鸡市经二路新华巷24号,
,咔嘻,陕西省,宝鸡市,渭滨区,宝鸡市中心医院,陕西省宝鸡市姜谭路8号,
,AlisaGY,陕西省,咸阳市,彬州市,彬州市人民医院,咸阳市彬州市县城西大街,029-34929496
,AlisaGY,陕西省,咸阳市,彬州市,彬州市中医医院,咸阳市彬州市泾河新区社保大厦斜对面,029-34922133
,AlisaGY,陕西省,咸阳市,淳化县,淳化县医院,咸阳市淳化县城关镇人民街中段淳化财政局东侧,029-32772768
,AlisaGY,陕西省,咸阳市,泾阳县,泾阳县医院,咸阳市泾阳县北极宫大街中段116号,029-36222413
,AlisaGY,陕西省,咸阳市,礼泉县,礼泉县人民医院,咸阳市礼泉县市政街23号,029-35614336
,AlisaGY,陕西省,咸阳市,乾县,乾县人民医院,咸阳市乾县城关镇泰山庙街34号,029-35521323
,AlisaGY,陕西省,咸阳市,秦都区,秦都区中医医院,陕西省咸阳市秦都区马泉街道办旁,
,咔嘻,陕西省,咸阳市,秦都区,咸阳市第一人民医院,咸阳市秦都区毕源路附10号,(029)33280120
,咔嘻,陕西省,咸阳市,秦都区,陕西中医药大学附属医院,咸阳市渭阳西路副2号,
,咔嘻,陕西省,咸阳市,秦都区,陕西中医药大学第二附属医院,陕西省咸阳市渭阳西路5号,
,咔嘻,陕西省,咸阳市,秦都区,核工业二一五医院,陕西省咸阳市渭阳西路35号,
,咔嘻,陕西省,咸阳市,秦都区,咸阳彩虹医院,咸阳市秦都区渭阳西路3号,029-33326708
,AlisaGY,陕西省,咸阳市,三原县,三原县医院,咸阳市三原县秦桐街,029-32282129
,AlisaGY,陕西省,咸阳市,渭城区,省水电医院,咸阳市渭城区金旭路1号,
,咔嘻,陕西省,咸阳市,渭城区,咸阳市传染病院（咸阳市中心医院东郊分院）,渭城派出所向东50米,
,咔嘻,陕西省,咸阳市,渭城区,咸阳市中心医院,渭城区人民东路78号,029-33222222
,咔嘻,陕西省,咸阳市,渭城区,延安大学咸阳医院,陕西省咸阳市渭城区文林路中段38号,
,AlisaGY,陕西省,咸阳市,武功县,武功县人民医院,咸阳市武功县普集镇五一路中段,
,AlisaGY,陕西省,咸阳市,武功县,蓝天医院（武功）,陕西省咸阳市武功县,
,咔嘻,陕西省,咸阳市,西咸新区,西咸新区永安医院,西咸新区泾河新城泾干街办泾云大道西,
,咔嘻,陕西省,咸阳市,西咸新区,西咸新区沣东新城泰和医院,西咸新区沣东新城王寺西街141号,
,咔嘻,陕西省,咸阳市,西咸新区,秦汉胸科医院,咸阳市秦都区西兰路双照南上召坡中段,(029)33111618
,AlisaGY,陕西省,咸阳市,兴平市,兴平市人民医院,咸阳市兴平市金城路15号,029-38836084
,AlisaGY,陕西省,咸阳市,旬邑县,旬邑县医院,咸阳市旬邑县西大街,029-34422407
,咔嘻,陕西省,咸阳市,杨凌示范区,杨凌示范区医院,陕西省咸阳市杨凌示范区后稷路8号,
,AlisaGY,陕西省,咸阳市,永寿县,永寿县人民医院,咸阳市永寿县城药厂中路西段1号,029-37663326
,AlisaGY,陕西省,咸阳市,长武县,长武县人民医院,咸阳市长武县昭仁大街与长相路交汇处,029-34206767
,AlisaGY,陕西省,渭南市,白水县,白水县医院,渭南市白水县城关镇自强路037号,0913-6155222
,AlisaGY,陕西省,渭南市,澄城县,澄城县医院,渭南市澄城县东大街34号,
,AlisaGY,陕西省,渭南市,大荔县,大荔县医院,渭南市大荔县洛滨大道,
,AlisaGY,陕西省,渭南市,富平县,富平县医院,渭南市富平县杜村东街8号,0913-8212949
,AlisaGY,陕西省,渭南市,合阳县,合阳县医院,渭南市合阳县黄河路80号,0913-5521921
,AlisaGY,陕西省,渭南市,华阴市,华阴市人民医院,渭南市华阴市太华南路47号,0913-4612337
,AlisaGY,陕西省,渭南市,华州区,华州区人民医院,渭南市华州区子仪大街附近,0913-4724098,0913-4734026
,咔嘻,陕西省,渭南市,临渭区,渭南市中医医院,陕西省渭南市临渭区杜化路4号,(0913)2120000
,AlisaGY,陕西省,渭南市,蒲城县,蒲城县医院,渭南市蒲城县延安路中段144号,0913-7207300
,AlisaGY,陕西省,渭南市,潼关县,潼关县人民医院,渭南市潼关县尚德路与民生街十字东南角,
,AlisaGY,陕西省,渭南市,渭南市,渭南市第一医院,渭南市临渭区胜利大街35号,0913-2192953
,AlisaGY,陕西省,渭南市,渭南市,渭南市第二医院,渭南市临渭区朝阳大街东段2号,
,AlisaGY,陕西省,汉中市,城固县,城固县医院,汉中市城固县西环三路新世纪广场对面,
,咔嘻,陕西省,汉中市,汉台区,三二零一医院,陕西省汉中市汉台区天汉大道783号,
,咔嘻,陕西省,汉中市,汉台区,汉中市中心医院,汉中市汉台区劳动西路中段557号,
,咔嘻,陕西省,汉中市,汉台区,汉中市人民医院,陕西省汉中市汉台区北团结街251号,
,咔嘻,陕西省,汉中市,汉台区,汉中市传染病医院,汉中市南团结街171号,
,AlisaGY,陕西省,汉中市,留坝县,留坝县医院,汉中市留坝县南环路101号,0916-3922099,0916-3921187
,AlisaGY,陕西省,汉中市,略阳县,略阳县人民医院暨县天津中医院,城关镇以北1KM的菜籽坝,
,AlisaGY,陕西省,汉中市,勉县,勉县医院,汉中市勉县定军山镇绿缘路西段,0916-3232120
,AlisaGY,陕西省,汉中市,南郑区,南郑区人民医院,汉中市南郑区青年路9号,0916-5510799,0916-5510798
,AlisaGY,陕西省,汉中市,宁强县,宁强县天津医院,汉中市宁强县汉源镇羌州路,
,AlisaGY,陕西省,汉中市,西乡县,西乡县人民医院,汉中市西乡县城关镇会馆巷8号,
,AlisaGY,陕西省,汉中市,洋县,洋县人民医院,陕西省汉中市洋县北环东路581号,0916-8212146
,AlisaGY,陕西省,汉中市,镇巴县,镇巴县人民医院,汉中市镇巴县泾洋镇新街43号,0916-6712261
,AlisaGY,陕西省,安康市,白河县,白河县人民医院,安康市白河县城关镇书院北路18号,0915-7822258
,AlisaGY,陕西省,安康市,佛坪县,佛坪县人民医院,佛坪县人民医院,0916-8915816
,AlisaGY,陕西省,安康市,汉滨区,汉滨区第三人民医院,安康市汉滨区五里镇316国道,0915-3911029
,咔嘻,陕西省,安康市,汉滨区,安康市中心医院,陕西省安康市金洲南路85号,
,咔嘻,陕西省,安康市,汉滨区,安康市人民医院,安康市汉滨区江北大道38号,
,咔嘻,陕西省,安康市,汉滨区,安康市中医医院,安康市汉滨区巴山东路47号,
,AlisaGY,陕西省,安康市,汉阴县,汉阴县人民医院,安康市汉阴县城关镇北城街45号,0915-5212306
,AlisaGY,陕西省,安康市,岚皋县,岚皋县医院,安康市岚皋县城关镇新街19号,
,AlisaGY,陕西省,安康市,宁陕县,宁陕县医院,安康市宁陕县城关镇长安西街13号,0915-6822082,0915-6822560
,AlisaGY,陕西省,安康市,平利县,平利县医院,安康市平利县城关镇新正街48号,
,AlisaGY,陕西省,安康市,石泉县,石泉县医院,安康市石泉县向阳路西段11号,0915-6311552,0915-6321939,0915-6311551
,AlisaGY,陕西省,安康市,旬阳县,旬阳县医院,安康市旬阳县健康路27号,0915-7202392
,AlisaGY,陕西省,安康市,镇坪县,镇坪县医院,安康市镇坪县石寨路6号,
,AlisaGY,陕西省,安康市,紫阳县,紫阳县人民医院,安康市紫阳县城关镇紫府路58号,0915-4421331
,AlisaGY,陕西省,商洛市,丹凤县,丹凤县县医院,商洛市丹凤县北新街23号,
,AlisaGY,陕西省,商洛市,洛南县,洛南县县医院,商洛市洛南县健康路222号,0914-7322736
,AlisaGY,陕西省,商洛市,山阳县,山阳县人民医院,郭山路北侧,
,AlisaGY,陕西省,商洛市,商南县,商南县县医院,商洛市商南县城关镇五里铺村G312国道河南组,0914-6321486
,咔嘻,陕西省,商洛市,商州区,商洛市中心医院,陕西省商洛市北新街148号,
,咔嘻,陕西省,商洛市,商州区,商洛市中医医院,陕西省商洛市商州区移动路南段,
,AlisaGY,陕西省,商洛市,柞水县,柞水县人民医院,商洛市柞水县乾佑街北段211号,0914-4321624,0914-4341622
,AlisaGY,陕西省,商洛市,镇安县,镇安县中医医院,商洛市镇安县永乐镇迎宾路东段,0914-5360207
,AlisaGY,陕西省,延安市,安塞区,安塞区人民医院,延安市安塞区真武街18号,
,AlisaGY,陕西省,延安市,宝塔区,宝塔区人民医院,延安市宝塔区南市街道七里铺街,
,咔嘻,陕西省,延安市,宝塔区,延安大学附属医院,延安市宝塔区北大街43号,
,咔嘻,陕西省,延安市,宝塔区,延安市第二人民医院,陕西省延安市宝塔区滨河路南200米,
,咔嘻,陕西省,延安市,宝塔区,延安市中医医院,?陕西省延安市宝塔区轩辕大道,
,AlisaGY,陕西省,延安市,富县,富县人民医院,延安市富县富城镇正街84号,
,AlisaGY,陕西省,延安市,甘泉县,甘泉县人民医院,延安市甘泉县康乐路019号,
,AlisaGY,陕西省,延安市,黄陵县,黄陵县人民医院,延安市黄陵县土德路96号,0911-5212153
,AlisaGY,陕西省,延安市,黄龙县,黄龙县人民医院,延安市黄龙县中心街39号,
,AlisaGY,陕西省,延安市,洛川县,洛川县医院,延安市洛川县凤栖镇府前街8号,0911-3622559
,AlisaGY,陕西省,延安市,吴起县,吴起县人民医院,延安市吴起县吴起镇吴华路中段,
,AlisaGY,陕西省,延安市,延川县,延川县人民医院,延安市延川县南大街,
,AlisaGY,陕西省,延安市,延长县,延长县人民医院,延安市延长县迎宾路1号,
,咔嘻,陕西省,延安市,延长县,延安市人民医院,延安市延长县迎宾路1号,
,AlisaGY,陕西省,延安市,宜川县,宜川县人民医院,延安市宜川县南大街31号,0911-4622805
,AlisaGY,陕西省,延安市,志丹县,志丹县人民医院,延安市志丹县保安街54号,
,AlisaGY,陕西省,延安市,子长市,子长市人民医院,地区子长县冯家屯乡秀延街29号,0911-7124753
,AlisaGY,陕西省,榆林市,定边县,定边县人民医院,榆林市定边县鼓楼北大街21号,0912-4222059
,咔嘻,陕西省,榆林市,府谷县,府谷县人民医院,陕西省府谷县人民中路康复上巷2号,
,AlisaGY,陕西省,榆林市,横山区,横山区人民医院,榆林市横山区北大街横山中学斜对面,0912-7611153
,AlisaGY,陕西省,榆林市,佳县,佳县人民医院,榆林市佳县佳芦镇人民南路黑龙庙拐156号,
,AlisaGY,陕西省,榆林市,靖边县,靖边县人民医院,榆林市靖边县西新街15号,0912-4644444
,AlisaGY,陕西省,榆林市,靖边县,靖边县中医医院,东寨巷12号,
,AlisaGY,陕西省,榆林市,米脂县,米脂县人民医院,榆林市米脂县南大街60号,0912-6236128
,AlisaGY,陕西省,榆林市,清涧县,清涧县人民医院,陕西省榆林市清涧县G210(河西北路),
,咔嘻,陕西省,榆林市,神木市,神木市医院,榆林市神木市南大街1号,
,AlisaGY,陕西省,榆林市,绥德县,绥德县医院,榆林市绥德县名州镇文化路59号,0912-5641700
,咔嘻,陕西省,榆林市,绥德县,榆林市第一医院,榆林市绥德县名州镇文化路59号,(0912)5641700?
,AlisaGY,陕西省,榆林市,吴堡县,吴堡县医院,榆林市吴堡县新建街102号,0912-6521150
,AlisaGY,陕西省,榆林市,榆阳区,榆阳区人民医院,榆林市榆阳区青山西路53号,0912-3283754
,咔嘻,陕西省,榆林市,榆阳区,榆林市第二医院,榆阳区南大街223号,
,咔嘻,陕西省,榆林市,榆阳区,榆林市第三医院,陕西省榆林市榆阳区红山东路468号,
,咔嘻,陕西省,榆林市,榆阳区,榆林市中医医院（南郊园区）,陕西省榆林市榆阳区上郡路,
,咔嘻,陕西省,榆林市,榆阳区,榆林市星元医院,榆林市榆阳区西人民路33号,
,AlisaGY,陕西省,榆林市,子洲县,子洲县人民医院,榆林市子洲县人民路58号,0912-7224551
,咔嘻,陕西省,韩城市,新城区,韩城市人民医院,韩城市新城北区黄河大街与紫云路十字,